"ID","gender","age","N","E","O","A","C","anx","PD","DL","SUP"
"ID1211",1,2,2.13,4.29,3.5,4.63,4,3.81,2.4,3.25,2.75
"ID1212",1,2,1.5,3.29,4.3,4.63,4.56,4,3.6,3.13,3.25
"ID1213",0,2,1.88,4.86,4.2,3.5,2.78,3.55,4,3.75,3
"ID1214",1,2,2.88,3.71,3,3.75,3.56,2.87,2.6,3.63,4
"ID1215",1,2,3.38,3,3.5,3.63,4.33,4.06,3,2.25,1.38
"ID1216",1,2,1.88,2.57,3.9,3.38,3.89,4.47,3.4,3.5,3.63
"ID1217",0,2,3.13,3.71,4.5,3.5,4.56,4.16,3.6,3.88,3.63
"ID1218",1,2,2.75,3.29,4.5,3.75,3.78,4.12,1.8,2.38,3.5
"ID1219",1,2,1.13,2.14,4.6,4.88,4.56,3.43,3.2,2.88,3.5
"ID1220",1,2,2.63,2.29,3.3,4.5,4.78,5.25,3.2,2,3.88
"ID1221",1,2,2.38,3.71,3.8,2.63,3.22,3.63,2,2.63,3.5
"ID1222",1,2,3.38,3.43,2.4,3.38,4.67,5.42,3.8,3.38,2.75
"ID1223",1,2,4.13,1.71,3.5,3.5,3.44,4.71,3.6,3.25,1.88
"ID1224",1,2,1.5,3.71,4.1,3.75,3.78,3.52,3.4,3.88,2.75
"ID1225",0,2,2.25,3.14,4.2,4.25,4,3.48,2.6,3,3
"ID1226",1,2,3.13,2.29,4.4,4.13,4.89,4.1,3.8,3,2.38
"ID1227",1,2,2.5,3.29,4,4.38,3.56,4.13,2.4,3.25,3.5
"ID1228",1,2,4.13,2.14,4.5,2.88,3.67,5.01,2.6,3.13,3
"ID1229",0,2,2,3.71,4.9,4.75,4.44,4.08,3.6,3.63,3
"ID1230",0,2,1.63,4,4.9,4.25,3.56,3.21,3.4,3.88,1.63
"ID1231",0,2,3.75,1.29,3.2,3.38,3.89,3.94,3,3.75,1.88
"ID1232",1,2,4.75,2.29,3.5,3.75,3.33,5.61,3.4,2.38,2.75
"ID1233",1,2,2,4.14,3.7,4.5,4.44,3.5,2,3.38,2.25
"ID1234",1,2,2.63,4.71,4.5,2.25,3.44,3.84,3.6,1.63,1.88
"ID1235",1,2,2.75,4.14,4.1,3.63,3.67,5.08,4,3.88,2.25
"ID1236",1,2,1.38,4.29,4,4.75,5,2.69,3.6,3.38,3.38
"ID1237",1,2,1.75,4.57,3.6,4.63,4.11,4.43,3.6,2.88,2.75
"ID1238",0,2,1.38,2,3.5,4,4.11,3.55,2.4,3.5,3.13
"ID1239",1,2,2.63,2.86,3.4,4.5,3.44,3.42,2.2,2.88,2.25
"ID1240",0,2,1.5,3.86,4.4,4.5,4.67,3.94,3,3.25,2.75
"ID1241",0,2,2.63,1.71,5,4.13,3.89,4.62,3.2,2.63,2.38
"ID1242",1,2,4.88,1,3.3,2.88,4,6,4,2.13,1
"ID1243",0,2,1,5,3.2,4,4,1.47,1.4,3.5,3.5
"ID1244",0,2,1.38,4.86,2.9,4,4.56,2.5,1.6,2.88,3.5
"ID1245",1,2,3.63,1.14,2.9,4.13,3.78,3.15,3.6,3,2.63
"ID1246",0,2,3.75,2.86,4.2,2.5,3.44,4.62,2.6,3,2.88
"ID1247",1,2,2.25,2.14,4.1,4.75,3.56,4.52,2,3.13,3.13
"ID1248",0,2,3.88,2.43,3.8,3.38,3.56,3.7,3,3.13,2.88
"ID1249",1,2,2.88,4.14,4.8,4,3.22,4.9,4,2.88,1.38
"ID1250",0,2,2,3.57,4.5,4.5,4.44,3.38,2.6,3.88,3.13
"ID1251",1,2,2.88,2.57,2.7,3.63,2.56,5.21,3,2.88,2.88
"ID1252",1,2,4.13,4.43,4.7,4.63,4.11,4.78,3,3.38,1.5
"ID1253",1,2,1.5,3.57,3.4,4.5,4.67,3.84,2.8,2.63,2.5
"ID1254",0,2,2.38,1.86,3.6,3.75,3.44,3.16,2.6,3,2.75
"ID1255",0,2,2.5,4,4.2,4.38,3.67,3.72,3.8,3.5,3.25
"ID1256",1,2,3.5,3.14,4,4.25,3.67,5.21,2.8,2.63,2.63
"ID1257",1,2,3,3.43,4,3.88,4.11,5.18,3.4,3.5,3.13
"ID1258",0,2,2,3.86,4.4,4.13,4.78,3.32,3.2,3.63,3.38
"ID1259",1,1,2.63,4.14,3.3,3.88,3,4.21,2.4,2.5,2.38
"ID1260",1,1,1.5,4,3,3.63,4.78,3.13,2.6,3.88,3.25
"ID1261",0,1,1.88,3.71,3.9,4.63,4.33,4.89,3,2.63,3
"ID1262",1,1,1.13,4.29,4.6,4.5,4.44,4.14,2.6,4,3.75
"ID1263",0,1,2.5,4,2.5,3.5,4.33,3.66,3,2.38,3
"ID1264",1,1,2.88,3.14,3.4,3.25,3.78,4.71,3,2.13,2.88
"ID1265",1,1,2.13,4.29,3.7,4.25,3.33,4.03,2.2,3,2.88
"ID1266",1,1,3.5,3.71,4.2,3.5,4.44,3.82,2.4,3.75,3.25
"ID1267",1,1,4,3.86,4.7,3.5,2.22,4.52,2.8,3.63,3.25
"ID1268",0,1,2.75,2.57,4.4,4.88,4.44,3.93,2.4,3.13,3.38
"ID1269",1,1,3.88,2.29,2,3.25,3.78,5.19,3,2,2
"ID1270",1,1,3.38,2,3.9,4,2.56,5.63,2.2,2.5,2.75
"ID1271",1,1,3.75,1.86,2.6,3.5,3.44,4.46,3,2.75,3.5
"ID1272",1,1,1.5,4.43,3.8,4.5,3.44,2.46,2,2.88,2.75
"ID1273",1,1,3,4.43,4.4,3.63,4.56,3.61,2.8,3.25,3.75
"ID1274",1,1,2.13,2,3.4,5,4.67,2.91,2.4,3.25,3.63
"ID1275",1,1,2.63,4.86,4.3,4.75,4.67,3.6,2.8,3.25,3
"ID1276",0,1,2.75,3.71,4.1,2.75,3.89,4.1,2,1.5,2.25
"ID1277",0,1,2.13,3.29,3.9,3.63,4.89,3.39,3.6,3.75,3.5
"ID1278",0,1,2.88,4.14,3.9,3.25,4.11,3.29,2.8,3.13,2.88
"ID1279",1,1,3.5,3.43,3.5,4.38,4.22,5.03,2.4,2.25,2.38
"ID1280",0,1,1.25,3.14,4.3,3.63,3.67,3.9,2.8,2.88,2.5
"ID1281",1,1,3.38,4.43,3.8,4.38,4.33,4.27,2.6,2.5,3.25
"ID1282",0,1,2.88,2.57,3.2,3.75,3.11,4.86,2.6,2.25,2.88
"ID1283",1,1,3.63,2,3.8,3.5,3.67,5.97,3.4,2.88,0.75
"ID1284",0,1,2.75,5,4.2,4.5,4.78,4.3,3.8,2.75,3.13
"ID1285",0,1,2.75,2.14,3.3,3.88,3.11,4.06,2.8,2.38,2.63
"ID1286",0,1,3.25,3.29,3.6,3,3.33,2.46,3.6,3.25,2.38
"ID1287",0,1,1.5,2.14,3.9,4.38,4.22,4.55,2.4,3.13,3.75
"ID1288",1,1,2.88,3.29,4.1,4.5,4.78,6.07,4,1.5,1.88
"ID1289",0,1,1.63,2.14,4.4,3.63,3.33,3.62,3.8,3.75,3.25
"ID1290",0,1,4.38,3,4.4,3.88,3.11,5.53,3,2.5,3.5
"ID1291",0,1,2.38,4.29,4.4,3.25,4.11,3.33,3.4,3,3.13
"ID1292",0,1,2.63,2.71,3.7,3.88,3.33,3.87,3.6,2.38,2.38
"ID1293",0,1,1.63,4.14,3.9,3.88,4.11,4.05,2.4,3.63,1.5
"ID1294",1,1,2.38,3.57,3,3.25,4,5.07,3.2,3.13,1.88
"ID1295",0,1,1.75,3.86,3,3.88,2.89,3.49,2.6,2.88,3
"ID1296",1,1,3.38,4.57,4.2,3.63,4,4.27,2.8,3.13,1.5
"ID1297",0,1,1.25,4,4.9,3.38,1.78,4.13,2.2,3.5,2.63
"ID1298",0,1,2.88,3.14,3.6,4.25,3.89,4.78,3,3.13,2.5
"ID1299",0,1,3,3.71,3.5,2.88,3.78,5.37,2.6,2,3.13
"ID1300",0,1,1.5,3.71,3.8,4.38,4.67,2.82,2.8,3.25,3.5
"ID1301",0,1,2.88,2.29,2.7,4.5,3.11,4.43,2.8,2.63,2.88
"ID1302",1,1,3.63,1.57,3.6,4.38,3,4.43,3,3.25,3
"ID1303",1,1,4.13,3,3.5,2.88,3.11,3.07,2.2,2.88,2.88
"ID1304",1,1,2.88,3.86,3.5,4.13,4.11,4.15,2.6,2.38,3.5
"ID1305",1,1,4,2.14,3,4,4.67,5.44,4,3,1.38
"ID1306",1,1,3.5,4.86,3.4,4.13,3.89,5.56,3.2,3.63,3
"ID1307",0,1,2,3.86,3.5,4.63,4.56,4.92,3.6,3.63,3.25
"ID1308",1,1,4,3.43,3.7,2.88,3.44,5.18,3,2,2.63
"ID1309",1,1,2.13,4.14,3.2,4,4.78,3.25,2.8,3,3.5
"ID1310",1,1,1.88,4.29,3.7,4.75,3.33,3.73,3.2,3.5,3.13
"ID1311",1,1,2.63,2.71,3.4,3.63,4.56,3.62,2.8,2.88,2.25
"ID1312",1,1,3.63,2.86,4.5,4.13,4,5.15,2.6,2.5,3.75
"ID1313",0,1,2.38,2.86,3.6,3.75,3.89,3.1,3,2.63,2.63
"ID1314",1,1,3.5,3.71,3.2,4.13,2.56,3.73,2.4,2.88,3
"ID1315",1,1,2.25,2.71,3.9,3.38,4,4.25,2.6,3.63,3
"ID1316",0,1,3.5,4,4.1,4.38,3.89,6.36,4,2.75,3
"ID1317",0,1,3.25,3.86,3.2,3.88,3.56,3.18,3,2.25,3.63
"ID1318",0,1,1.88,3.29,2.5,4.63,3.78,3.39,3.2,2.75,3.25
"ID1319",0,1,2.88,2.71,3.2,4.63,4.78,2.64,2.2,3.5,3.75
"ID1320",1,1,3.5,2.29,3.1,3.5,4.22,5.51,3.4,2.88,3
"ID1321",1,1,3.13,3.57,4.1,4.75,3.78,3.23,2.8,2.5,3
"ID1322",0,1,3.5,4,3.3,2.75,3,4.41,3,3.5,3.63
"ID1323",1,1,2,4.86,3.6,3.38,3.33,3.08,2,3.25,3.63
"ID1324",1,1,4.75,2.29,2.8,3.88,3.78,5.56,4,2.25,2.5
"ID1325",1,1,2.38,3.71,2.8,4.75,4,3.84,3.2,3,3.38
"ID1326",1,1,3.13,4,3.3,4.88,4,3.39,3.4,2.63,2.13
"ID1327",1,1,2.75,4.14,3.9,4.38,4.33,3.52,3,3.75,3.63
"ID1328",0,1,2.63,3.29,4.3,5,3.67,3.05,2.8,3.13,2.88
"ID1329",1,1,3.5,4,3.3,3.63,4.56,4.24,3.2,3.63,3.5
"ID1330",0,1,1.75,3.71,3.9,2.38,3,5.24,4,3.88,3.5
"ID1331",0,1,3.25,3,3.3,3.5,3.22,4.17,2.2,3.38,3.38
"ID1332",0,1,3.13,3,3.6,3,3.56,3.78,3.8,2.38,2.75
"ID1333",1,1,2.88,4.57,4.4,4.75,3.78,5.51,3,2.63,2.63
"ID1334",1,1,2.38,4.71,3.4,4.38,4.56,4.27,2.8,2.5,2.88
"ID1335",1,1,4.13,3.29,3.7,4.5,3.78,4.72,2.4,3.38,1.5
"ID1336",1,1,3.63,2.57,2.8,4.25,3.78,4.36,3.6,3,3.5
"ID1337",0,1,3.13,2.29,3.4,3.88,3.44,3.32,2,2.38,2
"ID1338",1,1,2.88,2.43,3.2,3.75,4.33,3.53,2.8,3.75,2.88
"ID1339",1,1,1.75,4.43,3.2,4.25,4.78,2.86,2.2,3.25,4
"ID1340",0,1,3.25,3.86,2.9,4.13,4.11,4.76,3.6,3.13,3
"ID1341",1,1,1.88,3.57,3,3.88,3.78,2.74,2.4,2.5,3.25
"ID1342",1,1,3.5,4,4.2,3,4,2.51,2,2.5,3.38
"ID1343",0,1,3.25,3.57,3.7,4.25,4.56,3.71,4,3.38,2.88
"ID1344",0,1,3,2.14,3.8,4.13,4.11,3.68,2.6,3,2.13
"ID1345",1,1,2.75,4,4.5,4,4.67,4.01,2.6,2.88,2.88
"ID1346",0,1,2.88,4.71,3.2,2.5,4,4.35,3,3.75,3.25
"ID1347",0,1,2.75,2.29,3.7,4.38,3.78,4.16,3.4,2.5,2.75
"ID1348",1,1,1.5,2.71,3,4.38,4.67,4.73,2.8,3.13,3.63
"ID1349",1,1,4.25,1.86,3.4,3.5,4.11,4.93,2.8,2.88,2.88
"ID1350",0,1,2.13,2,4.2,4.88,4.89,4.35,2.4,2.75,3.63
"ID1351",1,1,2.88,1.57,4.6,4.88,3.78,4.01,1.6,3.13,2.75
"ID1352",0,1,3.25,3.71,3.8,4.88,3.78,4.24,3.2,3.63,2.5
"ID1353",1,1,4.13,3.43,3.8,2.75,4.11,4.19,2.8,2.38,2.38
"ID1354",1,1,3,4.86,3.5,3.75,4.22,3.53,4,3.75,2.88
"ID1355",1,1,3,3.86,4.2,3.25,2.67,4.01,3,3.13,2.75
"ID1356",1,1,3.38,2.43,2.2,4.38,3.44,4.69,1.8,2.63,3.38
"ID1357",0,1,2.88,3.43,3,3.38,3.33,3.73,2,2.75,2.5
"ID1358",1,1,4.38,4,4.4,3.63,3,6.29,2.6,2.75,2.75
"ID1359",1,1,2.75,3.86,3.9,4.63,4,3.74,3.6,1.88,1.13
"ID1360",1,1,2.88,4.57,4.3,3.75,4.67,5.36,3.8,2.88,3.38
"ID1361",1,1,3.88,3.14,4.2,3.63,3.22,3.74,3,2,2.38
"ID1362",0,1,2.25,3.57,4.2,3,3.11,4.96,2.6,3,2.88
"ID1363",1,1,2.13,3.86,3.4,4.25,4,4.05,3,2.75,2.75
"ID1364",1,1,3.38,2.86,3.8,3.75,3.22,3.54,3,3,3
"ID1365",1,1,3.63,4.86,3.4,3.25,2.89,3.89,1.4,3.25,3.88
"ID1366",1,1,2.5,1.29,3.7,3.75,3.11,4.45,2.4,2.88,2.5
"ID1367",0,1,3.5,2.43,2.8,3.63,3.44,4.32,3,3.13,3
"ID1368",1,1,3.5,3.43,3.2,3.75,4.11,3.45,3.4,2.5,1.88
"ID1369",1,1,4,2.57,3.6,3,2.67,4.34,4,3.38,2.38
"ID1370",1,1,2.88,3.57,3.2,4.13,4,4.36,3.6,2.88,1.63
"ID1371",0,1,2.88,4,4.5,3.88,3.89,4.17,3.4,2.25,2.25
"ID1372",0,1,2.5,3.71,3.5,4.13,3.33,3.7,3.4,3.13,2.38
"ID1373",0,1,2.88,3.14,4.6,3.38,3.33,5.55,3.2,2,2.38
"ID1374",0,1,3.13,2.29,3.8,3.38,3.67,6.03,3.4,3.13,2.88
"ID1375",0,1,1,3.86,4.5,3.38,3,1.85,1.8,3.75,3.25
"ID1376",1,1,2.25,4.14,4,3.75,4.22,4.35,2.4,2.88,3
"ID1377",1,1,4.38,3.29,3.9,2.88,3.78,4.94,3.6,3,2.88
"ID1378",1,1,2.38,3,3.6,4.5,4.44,3.23,2,2,3
"ID1379",1,1,3,3.43,4.1,3.88,4.78,4.41,2.8,2.63,3.63
"ID1380",1,1,1.38,4.43,4.4,3.88,4,3.25,3.2,3.88,4
"ID1381",1,1,2.63,2.86,4.4,4.13,3.33,3.83,3.8,3.75,2.25
"ID1382",1,1,4.13,3,4.3,3.5,3.56,6.1,4,3.25,3.25
"ID1383",0,1,1.75,3.86,4.5,3.88,3.67,4.8,2.8,3.63,2.88
"ID1384",0,1,3.13,2.71,3.6,3.25,4.33,3.82,3.2,3.25,3.38
"ID1385",0,1,4.75,1.14,3.1,3.13,3.11,5.36,4,2,1
"ID1386",0,1,3.25,2.43,3.3,3.88,3.44,3.13,2.4,3.38,3.5
"ID1387",0,1,1.13,2.29,3.9,4,4,2.09,2.6,3.5,2.88
"ID1388",0,1,1.63,4.57,3.6,3.5,3.89,3.2,2.6,3.13,3
"ID1389",0,1,2.38,3.29,4.2,4,4,4.5,3,3.13,2.63
"ID1390",1,1,4,2,2.4,2.63,2.78,3.77,2.4,2.75,3.63
"ID1391",0,1,3,4,4.3,3.5,3.89,4.36,3,2.38,2.5
"ID1392",0,1,3.88,3.86,3.4,3.38,3.44,2.95,2.6,3.75,4
"ID1393",1,1,3.5,4.29,3.4,3.25,3.44,5.83,3.2,3.13,2.75
"ID1394",1,1,3.38,3.71,3.9,3.63,4.11,5.24,3.6,3.38,2.5
"ID1395",0,1,2.88,2.57,4.3,3.75,3.11,5.05,2.4,3.5,1.63
"ID1396",1,1,1.75,3.29,4.2,3.88,4,1.67,1.8,3.25,3.5
"ID1397",1,1,3.88,3.57,4.5,4.38,4.44,3.84,3.2,2.88,3.38
"ID1398",1,0,3.88,2.43,4.1,2.63,4.33,4.53,2.2,2.5,3.13
"ID1399",1,0,2.38,3,3.8,4.38,3.22,3.53,2,2.88,3.25
"ID1400",1,0,3.25,4.57,4.5,2.88,4.33,5.14,3.2,3.13,3.88
"ID1401",1,0,3.13,3.57,3.1,4.13,4.89,4.5,3.8,3.63,3.38
"ID1402",0,0,1.88,3.57,3.3,4.13,4.11,3.27,2.6,2.88,3.13
"ID1403",0,0,3.75,3.14,3.3,2.75,3.11,5.05,2.8,2.5,2.75
"ID1404",0,0,3.13,2.29,2.9,3.63,4.22,5.2,3,2.13,2.38
"ID1405",1,0,3.5,4.57,3.5,2.38,4.22,5.2,3.2,2.75,2.88
"ID1406",1,0,3,4.29,3.8,3,4.89,4.77,3.2,2.63,3.13
"ID1407",0,0,2.63,3,3.1,3.63,3.11,4.75,3.2,3.75,1.75
"ID1408",0,0,2.13,3.86,3.3,3.25,3.33,3.84,2.4,2.38,3
"ID1409",1,0,2.63,2.86,3.7,3.88,3.22,5.07,2.6,2.88,3.5
"ID1410",1,0,3.13,4.29,4.4,3.38,4.56,4.39,2.4,2.88,3.38
"ID1411",1,0,3.25,4.71,3.8,3.75,4.22,4.72,2.6,2.13,2.5
"ID1412",1,0,3.13,3.86,4.1,4.63,4.22,3.5,3,2.13,3.25
"ID1413",1,0,4.38,3,4.2,3.25,2.22,4.58,2,2.38,3.5
"ID1414",1,0,4.38,3.86,4.8,2.13,3.56,5.51,1.4,1.38,2.25
"ID1415",1,0,4.25,3,4.2,4.25,2.78,4.09,2.2,2.5,2.88
"ID1416",1,0,1.88,4.29,4.3,3.5,2.78,3.71,2.4,2.25,2.25
"ID1417",0,0,2.5,4.86,2.4,4.5,4.56,4.71,3.6,2.13,3
"ID1418",1,0,4.25,2.86,3,3.5,3.56,5.58,3.4,2.75,2.38
"ID1419",0,0,1.25,4.14,4.5,4.5,4,2.54,2.4,3.5,3
"ID1420",1,0,2.63,3.86,3.5,3.88,4.11,4.61,3.8,3.38,1.5
"ID1421",0,0,2.5,4,4.2,3.38,3.44,3.54,3,3.63,3.88
"ID1422",0,0,1.63,4.29,4.6,3.75,2.33,3.56,2.2,3.13,2.25
