What do you do at the school?,What is your level of experience in R?,What is your motivation for attending these workshops?,Which level of workshop would you be interested in attending first?,When would you like to attend your first workshop? (Exact dates TBC.),Would you be able to bring a laptop to the workshop?
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R",Basic,January,Yes
Faculty,I have run a few analyses using mostly someone else's code,"To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Y2+ PhD student,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To learn how to make pretty plots",Basic,January,Yes
Post-doc,I have run a few analyses using mostly someone else's code,"To learn how to make pretty plots, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Faculty,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R",Advanced,January,Yes
Faculty,"I use R regularly but don't feel like I completely ""get it"".","To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for, I'm Jennifer Mankin",Advanced,January,No
Y2+ PhD student,I can write basic data cleaning and analysis code,"I just want to be able to run my ANOVAs/regressions..., To learn how to make pretty plots",Advanced,January,Yes
Faculty,I have run a few analyses using mostly someone else's code,To know the basics so that I can supervise students who work with R,Basic,January,Yes
Y2+ PhD student,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Y2+ PhD student,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for, I also need to learn Motion Energy Analysis in R",Basic,January,Yes
Y1 PhD student,I can write basic data cleaning and analysis code,"To learn how to clean data, To learn how to make pretty plots, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To see what things R can be used for",Basic,January,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots",Basic,January,Yes
Y2+ PhD student,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,No
Y2+ PhD student,I can write basic data cleaning and analysis code,"To learn how to clean data, To learn how to make pretty plots, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,No
Post-doc,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To see what things R can be used for",Basic,January,Yes
Y2+ PhD student,I have run a few analyses using mostly someone else's code,To gain a deeper understanding of R,Advanced,January,Yes
Faculty,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Post-doc,I have run a few analyses using mostly someone else's code,"To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Post-doc,I have run a few analyses using mostly someone else's code,"Run multilevel models , SEM and Bayesian statistics, Do neurogimaging and classification analyses with R",Advanced,January,Yes
Y2+ PhD student,I can write basic data cleaning and analysis code,To gain a deeper understanding of R,Basic,January,Yes
Y1 PhD student,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To know the basics so that I can supervise students who work with R, To learn how to make pretty plots",Basic,January,Yes
Faculty,I've never worked in R before,"To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To see what things R can be used for",Basic,January,No
Y1 PhD student,I have run a few analyses using mostly someone else's code,To know the basics so that I can supervise students who work with R,Basic,January,Yes
Faculty,I've never worked in R before,To know the basics so that I can supervise students who work with R,Basic,January,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To gain a deeper understanding of R",Basic,January,Yes
Y2+ PhD student,I can write basic data cleaning and analysis code,"I just want to be able to run my ANOVAs/regressions..., To gain a deeper understanding of R, To see what things R can be used for",,January,Yes
Y2+ PhD student,I have run a few analyses using mostly someone else's code,"To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To gain a deeper understanding of R",Basic,January,Yes
Y1 PhD student,I've never worked in R before,I just want to be able to run my ANOVAs/regressions...,Basic,January,Yes
Post-doc,I have run a few analyses using mostly someone else's code,"To know the basics so that I can supervise students who work with R, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Faculty,"I use R regularly but don't feel like I completely ""get it"".","To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To see what things R can be used for",Advanced,January,Yes
Y2+ PhD student,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,No
Y2+ PhD student,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to make pretty plots, To see what things R can be used for",Basic,January,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To know the basics so that I can supervise students who work with R",Basic,January,No
Y2+ PhD student,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Faculty,I can write basic data cleaning and analysis code,"To gain a deeper understanding of R, To see what things R can be used for",Advanced,January,Yes
Y2+ PhD student,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Y2+ PhD student,"I use R regularly but don't feel like I completely ""get it"".","To learn how to clean data, To know the basics so that I can supervise students who work with R, To gain a deeper understanding of R, To see what things R can be used for",Advanced,January,Yes
Y1 PhD student,I can write basic data cleaning and analysis code,"To know the basics so that I can supervise students who work with R, To understand why things go wrong, To gain a deeper understanding of R",Advanced,January,Yes
Faculty,I've never worked in R before,To know the basics so that I can supervise students who work with R,Basic,January,Yes
Y2+ PhD student,I can write basic data cleaning and analysis code,"To know the basics so that I can supervise students who work with R, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,January,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To know the basics so that I can supervise students who work with R",Basic,May/June,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,May/June,Yes
Y2+ PhD student,"I use R regularly but don't feel like I completely ""get it"".","To learn how to clean data, To gain a deeper understanding of R",Advanced,May/June,Yes
Y2+ PhD student,"I use R regularly but don't feel like I completely ""get it"".","I just want to be able to run my ANOVAs/regressions..., To learn how to make pretty plots, To gain a deeper understanding of R",Advanced,May/June,Yes
Y2+ PhD student,I can write basic data cleaning and analysis code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Advanced,May/June,Yes
Y1 PhD student,I've never worked in R before,To know the basics so that I can supervise students who work with R,Basic,May/June,Yes
Faculty,I've never worked in R before,To know the basics so that I can supervise students who work with R,Basic,May/June,No
Faculty,"I use R regularly but don't feel like I completely ""get it"".",To know the basics so that I can supervise students who work with R,Advanced,May/June,No
Y2+ PhD student,"I use R regularly but don't feel like I completely ""get it"".","To learn how to make pretty plots, To gain a deeper understanding of R, To see what things R can be used for",Advanced,May/June,Yes
Y2+ PhD student,I can write basic data cleaning and analysis code,"To learn how to clean data, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Advanced,May/June,Yes
Y2+ PhD student,I can write basic data cleaning and analysis code,"To learn how to clean data, To understand why things go wrong, To see what things R can be used for",Advanced,May/June,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To know the basics so that I can supervise students who work with R, To gain a deeper understanding of R, To see what things R can be used for",Basic,May/June,Yes
Y1 PhD student,I can write basic data cleaning and analysis code,"To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To gain a deeper understanding of R, To see what things R can be used for",Advanced,May/June,Yes
Post-doc,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,May/June,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To gain a deeper understanding of R, To see what things R can be used for",Basic,May/June,Yes
Faculty,I've never worked in R before,"To know the basics so that I can supervise students who work with R, To see what things R can be used for",Basic,May/June,No
Faculty,I've never worked in R before,To see what things R can be used for,Basic,May/June,No
Faculty,I can write basic data cleaning and analysis code,"I just want to be able to run my ANOVAs/regressions..., To know the basics so that I can supervise students who work with R, To gain a deeper understanding of R",Basic,May/June,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To know the basics so that I can supervise students who work with R",Basic,May/June,Yes
Y2+ PhD student,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to make pretty plots, To understand why things go wrong",Basic,May/June,Yes
Faculty,I have run a few analyses using mostly someone else's code,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To gain a deeper understanding of R, To see what things R can be used for",Basic,May/June,Yes
Faculty,I've never worked in R before,"To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To see what things R can be used for",Basic,May/June,Yes
Faculty,I've never worked in R before,"To know the basics so that I can supervise students who work with R, To learn how to make pretty plots",Basic,January,Yes
Y2+ PhD student,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To see what things R can be used for",Basic,January,Yes
Y2+ PhD student,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To see what things R can be used for",Basic,May/June,Yes
Faculty,I've never worked in R before,"I just want to be able to run my ANOVAs/regressions..., To learn how to clean data, To know the basics so that I can supervise students who work with R, To learn how to make pretty plots, To understand why things go wrong, To see what things R can be used for",Basic,January,Yes
